text,label,lang,scam_type,text_normalized,source
"Mubarak ho! Inaam Ghar main apka 50,000 ka inam lga ha. Apna inam hasil krne k lie apna NayaPay pin is number par send krin.",1,roman_urdu,Phishing - Reward/Lottery Scam,Mubarak ho! Inaam ghar main apka 50000 ka inam lga hai. Apna inam hasil karne k liye apna nayapay pin is number par send karein.,zenodo_21810885
"Your SadaPay OTP for online transaction is 48161966. Do not share this OTP with anyone, not even bank staff.",0,roman_urdu,Bank OTP Message,"Your sadapay otp for online transaction is 48161966. Do not share this otp with anyone, not even bank staff.",zenodo_21810885
Easypaisa: Aap ne successfully 12500 PKR transfer kar diye hain. Trx ID: 79762047.,0,roman_urdu,Mobile Wallet Transfer Confirmation,Easypaisa: aap ne successfully 12500 pkr transfer kar diye hain. Trx id: 79762047.,zenodo_21810885
Mubarak ho! BISP main apka 12500 ka inam lga ha. Apna inam hasil krne k lie apna Easypaisa pin is number par send krin.,1,roman_urdu,Phishing - Reward/Lottery Scam,Mubarak ho! Bisp main apka 12500 ka inam lga hai. Apna inam hasil karne k liye apna easypaisa pin is number par send karein.,zenodo_21810885
"Your JazzCash OTP for online transaction is 88503646. Do not share this OTP with anyone, not even bank staff.",0,roman_urdu,Bank OTP Message,"Your jazzcash otp for online transaction is 88503646. Do not share this otp with anyone, not even bank staff.",zenodo_21810885
Easypaisa: Aap ne successfully 10000 PKR transfer kar diye hain. Trx ID: 97681448.,0,roman_urdu,Mobile Wallet Transfer Confirmation,Easypaisa: aap ne successfully 10000 pkr transfer kar diye hain. Trx id: 97681448.,zenodo_21810885
Apka Meezan Bank ka account tax jama na krwane ki waja se block ho gaya hai. Abhi call karein 0385011336 par warna account hamesha k liye band ho jaye ga.,1,roman_urdu,Phishing - Account Block Threat,Apka meezan bank ka account tax jama na karwane ki waja se block ho gaya hai. Abhi call karein 0385011336 par warna account hamesha k liye band ho jaye ga.,zenodo_21810885
"Aap ka MCB debit card ATM par use hua hai. Amount: 50,000 PKR. Agar yeh aap ne nahi kiya toh helpline par call karein.",0,roman_urdu,Bank ATM Transaction Alert,Aap ka mcb debit card atm par use hua hai. Amount: 50000 pkr. Agar yeh aap ne nahi kiya toh helpline par call karein.,zenodo_21810885
Easypaisa: Aap ne successfully 5000 PKR transfer kar diye hain. Trx ID: 62771042.,0,roman_urdu,Mobile Wallet Transfer Confirmation,Easypaisa: aap ne successfully 5000 pkr transfer kar diye hain. Trx id: 62771042.,zenodo_21810885
"Salary of 50,000 PKR has been credited to your Meezan Bank acount. Thank you.",0,roman_urdu,Salary Credit Notification,Salary of 50000 pkr has been credited to your meezan bank account. Thank you.,zenodo_21810885
"Your Meezan Bank OTP for online transaction is 11670787. Do not share this OTP with anyone, not even bank staff.",0,roman_urdu,Bank OTP Message,"Your meezan bank otp for online transaction is 11670787. Do not share this otp with anyone, not even bank staff.",zenodo_21810885
"Your JazzCash OTP for online transaction is 92492657. Do not share this OTP with anyone, not even bank staff.",0,roman_urdu,Bank OTP Message,"Your jazzcash otp for online transaction is 92492657. Do not share this otp with anyone, not even bank staff.",zenodo_21810885
"Your SadaPay OTP for online transaction is 85413236. Do not share this OTP with anyone, not even bank staff.",0,roman_urdu,Bank OTP Message,"Your sadapay otp for online transaction is 85413236. Do not share this otp with anyone, not even bank staff.",zenodo_21810885
Apka MCB ka account system error ki waja se block ho gaya hai. Abhi pin code dain 0388847639 par warna account hamesha k liye band ho jaye ga.,1,roman_urdu,Phishing - Account Block Threat,Apka mcb ka account system error ki waja se block ho gaya hai. Abhi pin code dein 0388847639 par warna account hamesha k liye band ho jaye ga.,zenodo_21810885
Mubarak ho! Inaam Ghar main apka 12500 ka inam lga ha. Apna inam hasil krne k lie apna NayaPay pin is number par send krin.,1,roman_urdu,Phishing - Reward/Lottery Scam,Mubarak ho! Inaam ghar main apka 12500 ka inam lga hai. Apna inam hasil karne k liye apna nayapay pin is number par send karein.,zenodo_21810885
"Dear Consumer, apka is mahine ka IESCO ka bill 350 PKR hai. Due date guzarne se pehle ada karein.",0,roman_urdu,Utility Bill Payment Reminder,"Dear consumer, apka is mahine ka iesco ka bill 350 pkr hai. Due date guzarne se pehle ada karein.",zenodo_21810885
