text,label,lang,scam_type,source
"Mubarak ho! Inaam Ghar main apka 50,000 ka inam lga ha. Apna inam hasil krne k lie apna NayaPay pin is number par send krin.",1,roman_urdu,Phishing - Reward/Lottery Scam,zenodo_21810885
"Your SadaPay OTP for online transaction is 48161966. Do not share this OTP with anyone, not even bank staff.",0,roman_urdu,Bank OTP Message,zenodo_21810885
Easypaisa: Aap ne successfully 12500 PKR transfer kar diye hain. Trx ID: 79762047.,0,roman_urdu,Mobile Wallet Transfer Confirmation,zenodo_21810885
Mubarak ho! BISP main apka 12500 ka inam lga ha. Apna inam hasil krne k lie apna Easypaisa pin is number par send krin.,1,roman_urdu,Phishing - Reward/Lottery Scam,zenodo_21810885
"Your JazzCash OTP for online transaction is 88503646. Do not share this OTP with anyone, not even bank staff.",0,roman_urdu,Bank OTP Message,zenodo_21810885
Easypaisa: Aap ne successfully 10000 PKR transfer kar diye hain. Trx ID: 97681448.,0,roman_urdu,Mobile Wallet Transfer Confirmation,zenodo_21810885
Apka Meezan Bank ka account tax jama na krwane ki waja se block ho gaya hai. Abhi call karein 0385011336 par warna account hamesha k liye band ho jaye ga.,1,roman_urdu,Phishing - Account Block Threat,zenodo_21810885
"Aap ka MCB debit card ATM par use hua hai. Amount: 50,000 PKR. Agar yeh aap ne nahi kiya toh helpline par call karein.",0,roman_urdu,Bank ATM Transaction Alert,zenodo_21810885
Easypaisa: Aap ne successfully 5000 PKR transfer kar diye hain. Trx ID: 62771042.,0,roman_urdu,Mobile Wallet Transfer Confirmation,zenodo_21810885
"Salary of 50,000 PKR has been credited to your Meezan Bank acount. Thank you.",0,roman_urdu,Salary Credit Notification,zenodo_21810885
"Your Meezan Bank OTP for online transaction is 11670787. Do not share this OTP with anyone, not even bank staff.",0,roman_urdu,Bank OTP Message,zenodo_21810885
"Your JazzCash OTP for online transaction is 92492657. Do not share this OTP with anyone, not even bank staff.",0,roman_urdu,Bank OTP Message,zenodo_21810885
"Your SadaPay OTP for online transaction is 85413236. Do not share this OTP with anyone, not even bank staff.",0,roman_urdu,Bank OTP Message,zenodo_21810885
